ReturnCode,Name,Description,Column1,Type,Status,Hướng xử lí
-5004,BANK_SIGNATURE_INVALID,Dữ liệu xác thực của ngân hàng không hợp lệ.,,Bank Error,Fail,Hdan kh thực hiện lại vào thời điểm khác
-5003,BANK_IN_MAINTERNANCE_MODE,"Ngân hàng đang bảo trì, vui lòng thử lại sau.",,System Error,Fail,Hdan kh thực hiện lại vào thời điểm khác
-5002,BANK_UNKNOWN_ERROR,"Ngân hàng có lỗi, vui lòng thử lại sau.",Lỗi không xác định từ phía ngân hàng,Bank Error,Fail,"Ngân hàng đang cập nhật hệ thống nên giao dịch tạm thời bị gián đoạn. Nhờ KH thực hiện lại sau
Nếu KH đã bị trừ tiền => Check sổ phụ đúng quy trình"
-5001,BANK_NOT_CONNECTED,Không thể kết nối tới ngân hàng.,,Bank Error,Fail,"Hdan kh thực hiện lại sau, nếu KH bị trừ tiền check sổ phụ theo quy trình "
-5000,BANK_ZION_ESCROW_ACCOUNT_BALANCE_EXCEEDED,Tài khoản đảm bảo ZION không đủ số dư.,,Bank Error,Fail,
-4003,TRANS_TYPE_NOT_SUPPORT_RETRYNOTIFY,Không thể notify giao dịch loại này.,,User Error,Fail,
-4002,NOTIFY_RETURN_FAIL,Gửi thông báo trả về kết qủa thất bại.,,System Error,Pending,
-4001,NOTIFY_FAIL,Gửi thông báo thất bại!,,System Error,Pending,
-3155,NO_RECEIVE_BANK_IPN_CALLBACK,BC không nhận được request IPN (callback) từ Bank trong 15p,,User Error,Fail,
-3055,NO_RECEIVE_VERIFY_OTP_REQ,BC không nhận được request verify_otp từ TPE trong 15p,,User Error,Fail,
